lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-480.02503341139504,-0.0009840856731426306,-0.0029378118644600546,82,10,1,0,0.013113975524902344,1.578244686126709,0,EIG-0|10|5|3|1,0,
-480.0248310281058,-0.0002485661544805629,-0.0005485287819331949,82,3,1,0,0.014792919158935547,1.5952556133270264,0,EIG-0|10|5|3|1,0,
-480.0247287325099,-0.0003394393358869826,-0.0012867165937276207,82,9,1,0,0.011809110641479492,1.6092917919158936,0,EIG-0|10|5|3|1,0,
-480.0245481287121,-0.0003040388304861552,-0.0009467788616202562,100,5,1,0,0.015238046646118164,1.6267929077148438,0,EIG-0|10|5|3|1,0,
-480.02441947515223,-0.0003549853278235636,-0.0003549853278235636,82,1,1,0,0.01353311538696289,1.6427698135375977,0,EIG-0|10|5|3|1,0,
-480.0242615978951,-0.00034656428771888187,-0.0012439085611430942,82,10,1,0,0.014544963836669922,1.6598687171936035,0,EIG-0|10|5|3|1,0,
-480.02401680655015,-0.00036488792166612465,-0.00036488792166612465,100,1,1,0,0.015938997268676758,1.6785337924957275,0,EIG-0|10|5|3|1,0,
-480.02396024853977,-0.00029086072476507195,-0.0011208086980302235,100,12,1,0,0.008471012115478516,1.6895029544830322,0,EIG-0|10|5|3|1,0,
-480.0237330944344,-0.0004627783436466309,-0.0009838080383520213,100,3,1,0,0.017332077026367188,1.7094178199768066,0,EIG-0|10|5|3|1,0,
-480.0234166141964,-0.00048266054565297673,-0.00048266054565297673,100,1,1,0,0.018725156784057617,1.7307467460632324,0,EIG-0|10|5|3|1,0,
-480.0233430370767,-0.0004901628789412193,-0.0022956436013981825,100,12,1,0,0.009760141372680664,1.7433767318725586,0,EIG-0|10|5|3|1,0,
-480.0227651403683,-0.00033600387255209793,-0.0010327577610593718,100,5,1,0,0.028706073760986328,1.77492094039917,0,EIG-0|10|5|3|1,0,
-480.0224936730169,-0.0004881060449462236,-0.0009261980990736187,82,3,1,0,0.019296884536743164,1.796952724456787,0,EIG-0|10|5|3|1,0,
-480.02232155969267,-0.0003382534448629561,-0.0011073513413515025,82,9,1,0,0.01487588882446289,1.8145039081573486,0,EIG-0|10|5|3|1,0,
-480.02212038357806,-0.00022778370012018794,-0.0007906313916966688,82,9,1,0,0.01582813262939453,1.8329577445983887,0,EIG-0|10|5|3|1,0,
-480.02196668969214,-0.00024056583832359876,-0.00024056583832359876,100,1,1,0,0.016387939453125,1.85201096534729,0,EIG-0|10|5|3|1,0,
-480.02194443910275,-0.0001901199243182024,-0.0004963021290253257,82,3,1,0,0.008365869522094727,1.8633038997650146,0,EIG-0|10|5|3|1,0,
-480.02185039295995,-0.00026613768368714255,-0.0009512212889992396,100,11,1,0,0.011153936386108398,1.877368688583374,0,EIG-0|10|5|3|1,0,
-480.0217821085293,-9.127940884301797e-05,-0.00027613134928135334,82,10,1,0,0.01652693748474121,1.8969228267669678,0,EIG-0|10|5|3|1,0,
-480.0217419099629,-8.339999984065284e-05,-0.00020133332797651698,82,5,1,0,0.019485950469970703,1.9195358753204346,0,EIG-0|10|5|3|1,0,
-480.0217168263597,-5.718888564883045e-05,-0.00020528314187829796,82,9,1,0,0.013487100601196289,1.9361658096313477,0,EIG-0|10|5|3|1,0,
-480.021678032511,-7.715170334485699e-05,-7.715170334485699e-05,82,1,1,0,0.016047954559326172,1.9548869132995605,0,EIG-0|10|5|3|1,0,
-480.0216555994227,-7.654636063270933e-05,-7.654636063270933e-05,100,1,1,0,0.013360977172851562,1.9709229469299316,0,EIG-0|10|5|3|1,0,
-480.02163000747254,-6.515950409983417e-05,-0.00013270224351828803,100,3,1,0,0.013540983200073242,1.986853837966919,0,EIG-0|10|5|3|1,0,
-480.02157413447554,-6.999330431941876e-05,-0.00032848075092824854,100,10,1,0,0.018744945526123047,2.007988929748535,0,EIG-0|10|5|3|1,0,
-480.0214980350279,-8.983346329141004e-05,-0.0002942176377708964,82,9,1,0,0.02146315574645996,2.0317976474761963,0,EIG-0|10|5|3|1,0,
-480.0214459317093,-9.88293430172592e-05,-9.88293430172592e-05,82,1,1,0,0.016294002532958984,2.05043888092041,0,EIG-0|10|5|3|1,0,
