dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,Lb60,best,lb0,cpu0,cpub,cputotal,gc,Gc,Gc av,Gc60,Gc60 av
BOXQP_LARGEST,spar250-075-3,QP,251,0,LP-FROB-S,-1,1800,1E-06,-48958.944323812626,1809.0429310798645,99,18.1756025564791,-6.211825515545186,0,,-40379.10691543823,-147354.75,0.8914000988006592,0.8447239398956299,1809.920398235321,0,0.92,,,
BOXQP_LARGEST,spar250-075-3,QP,251,0,LP-EIG-0,-1,1800,1E-06,-45535.04351869279,1809.088541984558,77,23.395352763014955,-5.273669725486995,0,,-40379.10691543823,-147354.75,0.8914098739624023,0.8330380916595459,1809.948499917984,0,0.95,,,
BOXQP_LARGEST,spar250-075-3,QP,251,0,LP-EIG-1,-1,1800,1E-06,-92041.72246205751,1804.645324230194,128,14.001939658075571,-6.850799518004444,0,,-40379.10691543823,-147354.75,0.8839020729064941,0.815483808517456,1805.490835905075,0,0.52,,,
BOXQP_LARGEST,spar250-075-3,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-42816.42634482546,1813.0808687210083,90,20.046609547403122,-4.673231148210783,0,-92590.3753772118,-40379.10691543823,-147354.75,-147354.75,0.8988158702850342,0.8456990718841553,1813.9593012332916,0.98,,0.51,
BOXQP_LARGEST,spar250-100-1,QP,251,0,LP-FROB-0,-1,1800,1E-06,-46773.83138152434,1844.3810741901398,46,39.99541676044464,-2.817205336891011,0,,-46773.83138152434,-198309.75,0.996751070022583,0.9264190196990967,1845.3374330997467,0,1.00,1.00,,
BOXQP_LARGEST,spar250-100-1,QP,251,0,LP-FROB-S,-1,1800,1E-06,-56770.237168250314,1834.6564271450043,96,19.01385532071193,-5.946238318323708,0,,-46773.83138152434,-198309.75,0.9605090618133545,0.8393480777740479,1835.5250339508057,0,0.93,0.94,,
BOXQP_LARGEST,spar250-100-1,QP,251,0,LP-EIG-0,-1,1800,1E-06,-52224.54700649556,1815.3867890834808,65,27.829412229244525,-8.325812168487973,0,,-46773.83138152434,-198309.75,0.9590959548950195,0.8133211135864258,1816.229120016098,0,0.96,0.96,,
BOXQP_LARGEST,spar250-100-1,QP,251,0,LP-EIG-1,-1,1800,1E-06,-105329.45651909985,1819.4561541080475,129,14.009683671847794,-6.917951650057026,0,,-46773.83138152434,-198309.75,0.9526886940002441,0.8235690593719482,1820.3215670585632,0,0.61,0.59,,
BOXQP_LARGEST,Spar250-100-1,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-49502.335669951724,1848.6171798706055,73,25.226871706035038,-3.369115543870096,0,-98596.2171146555,-46773.83138152434,-198309.75,1.0338869094848633,0.9349932670593262,1849.583645105362,0,0.98,0.98,0.66,0.64
BOXQP_LARGEST,spar250-100-2,QP,251,0,LP-FROB-0,-1,1800,1E-06,-45036.92474348041,1820.1686899662018,56,32.40596555386271,-4.081314449296169,0,,-45036.92474348041,-196843.5,1.0183038711547852,0.8647952079772949,1821.0735301971436,0,1.00,,,
BOXQP_LARGEST,spar250-100-2,QP,251,0,LP-FROB-S,-1,1800,1E-06,-54651.74486623188,1820.8253469467163,96,18.867366823057335,-6.009839494105213,0,,-45036.92474348041,-196843.5,1.051560878753662,0.8577120304107666,1821.7129180431366,0,0.94,,,
BOXQP_LARGEST,spar250-100-2,QP,251,0,LP-EIG-0,-1,1800,1E-06,-50605.14808481537,1808.793468952179,78,23.090486037425507,-7.755416218399995,0,-71616.5475207008,-45036.92474348041,-196843.5,1.189349889755249,0.8827240467071533,1809.7102499008179,0,0.96,,,
BOXQP_LARGEST,spar250-100-2,QP,251,0,LP-EIG-1,-1,1800,1E-06,-104467.17637983618,1816.874881029129,129,13.987648679304492,-6.83518664920196,0,,-45036.92474348041,-196843.5,1.017333984375,0.8568871021270752,1817.7595613002777,0,0.61,,,
BOXQP_LARGEST,Spar250-100-2,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-47087.23731809895,1801.9926738739014,83,21.614311060273504,-4.780028803719859,0,-103138.855032159,-45036.92474348041,-196843.5,1.0074779987335205,0.8460721969604492,1802.8690099716187,0,0.99,,0.62,
BOXQP_LARGEST_3,spar250-100-3,QP,251,0,LP-FROB-0,-1,1800,1E-06,-44973.22183503902,1835.6624791622162,59,31.017687094413628,-4.290218215494362,0,,-44973.22183503902,-196379.75,0.9967930316925049,0.8462138175964355,1836.5385882854462,0,1.00,,,
BOXQP_LARGEST,spar250-100-3,QP,251,0,LP-FROB-S,-1,1800,1E-06,-54464.37626343613,1831.2431721687317,100,18.216745085716248,-6.1479730492352225,0,,-44973.22183503902,-196379.75,1.170736312866211,0.8940699100494385,1832.1762299537659,0,0.94,,,
BOXQP_LARGEST,spar250-100-3,QP,251,0,LP-EIG-0,-1,1800,1E-06,-50891.00762106157,1815.6358778476715,65,27.78787454825181,-6.142209636149252,0,,-44973.22183503902,-196379.75,1.453852891921997,1.1941802501678467,1816.8773369789124,0,0.96,,,
BOXQP_LARGEST,spar250-100-3,QP,251,0,LP-EIG-1,-1,1800,1E-06,-114231.17005493594,1835.568202972412,101,18.027460700214498,-6.809738488238439,0,,-44973.22183503902,-196379.75,1.4409818649291992,1.2713701725006104,1836.8926548957825,0,0.54,,,
BOXQP_LARGEST,spar250-100-3,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-47293.54360457879,1818.5867042541504,85,21.299602688060087,-4.746420681382578,0,-99456.7434816881,-44973.22183503902,-196379.75,1.046523094177246,0.8497159481048584,1819.467789888382,0,0.98,,0.64,
